Reference,Location,U-Pb (Ma)
10,Asia,3187
10,Australia,3111
10,Asia,3166
10,S America,2851
10,Asia,3161
10,S America,2838
10,S America,2892
10,S America,2884
10,Australia,2764
10,S America,3450
10,Australia,2673
10,S America,2834
10,S America,2904
10,Australia,3134
10,Australia,3135
10,Africa,3063
10,S America,3257
10,S America,3500
10,S America,3500
10,S America,3207
10,Europe,2738
10,Europe,2738
10,S America,2819
10,S America,3530
10,S America,2869
10,Australia,2727
10,S America,2829
10,S America,3221
10,Asia,2464
10,Australia,2681
10,Asia,3152
10,Asia,3287
10,Asia,3219
10,Asia,2506
10,Asia,3165
10,Australia,2492
10,S America,3000
10,S America,3261
10,S America,2844
10,Australia,3286
10,Australia,2726
10,Europe,2738
10,Australia,2817
10,S America,3547
10,Europe,2738
10,Australia,2688
10,S America,2869
10,S America,2871
10,Australia,3149
10,Europe,2650
10,Europe,2738
10,Asia,3152
10,Africa,3197
10,Australia,2670
10,Australia,2698
10,Australia,3068
10,S America,2841
10,Australia,2886
10,Asia,3295
10,Africa,2175
10,Africa,2036
10,S America,2904
10,Australia,2680
10,Australia,3193
10,Europe,2738
10,Australia,2683
10,Asia,3297
10,Australia,2666
10,S America,2855
10,S America,2900
10,Asia,3135
10,Asia,3159
10,Asia,3250
10,Australia,2865
10,Europe,2919
10,Asia,2312
10,Asia,3296
10,Australia,2699
10,S America,3187
10,S America,3450
10,S America,2819
10,Asia,3167
10,Asia,3310
10,Australia,2596
10,Asia,3229
10,Europe,2738
10,Australia,2768
10,Australia,2792
10,Australia,2671
10,Australia,3162
10,Asia,3167
10,Asia,3340
10,S America,3210
10,S America,2843
10,Asia,3118
10,Australia,2639
10,S America,2857
10,Australia,2475
10,S America,2853
10,S America,3032
10,S America,3291
10,Australia,2589
10,Asia,3153
10,Asia,3146
10,Australia,3097
10,Australia,3188
10,Australia,2914
10,Australia,2607
10,Australia,2996
10,Asia,3171
10,Australia,2735
10,Australia,2792
10,S America,2184
10,Australia,2505
10,S America,3327
10,Australia,2697
10,Asia,3165
10,S America,2864
10,Asia,3158
10,S America,2826
10,Asia,3147
10,Australia,2447
10,S America,2841
10,Asia,3188
10,S America,2734
10,S America,2666
10,Europe,2738
10,S America,2861
10,Australia,3136
10,S America,3260
10,Australia,2768
10,Africa,2174
10,Asia,2460
10,Australia,2638
10,Asia,2671
10,Africa,2677
10,Asia,3136
10,S America,3271
10,Asia,3171
10,Australia,2672
10,Australia,3079
10,Australia,2680
10,Europe,2740
10,Australia,2657
10,Europe,3092
10,S America,2818
10,Asia,2711
10,S America,2852
10,S America,3004
10,S America,3042
10,Asia,2527
10,S America,3136
10,Australia,2623
10,Australia,2691
10,Australia,2654
10,Europe,2738
10,Australia,2946
